Time Series artificial accelerogram: 1
 
Time Step: 0.01000 s
 
     Time(sec)	        Acc(g)	                              
       6.72000	       0.08437	                              
       6.73000	       0.07724	                              
       6.74000	       0.06646	                              
       6.75000	       0.05399	                              
       6.76000	       0.04128	                              
       6.77000	       0.02958	                              
       6.78000	       0.02038	                              
       6.79000	       0.01507	                              
       6.80000	       0.01372	                              
       6.81000	       0.01421	                              
       6.82000	       0.01305	                              
       6.83000	       0.00765	                              
       6.84000	      -0.00178	                              
       6.85000	      -0.01212	                              
       6.86000	      -0.01923	                              
       6.87000	      -0.02031	                              
       6.88000	      -0.01513	                              
       6.89000	      -0.00540	                              
       6.90000	       0.00641	                              
       6.91000	       0.01785	                              
       6.92000	       0.02612	                              
       6.93000	       0.02845	                              
       6.94000	       0.02310	                              
       6.95000	       0.01104	                              
       6.96000	      -0.00450	                              
       6.97000	      -0.01941	                              
       6.98000	      -0.03064	                              
       6.99000	      -0.03651	                              
       7.00000	      -0.03742	                              
       7.01000	      -0.03554	                              
       7.02000	      -0.03466	                              
       7.03000	      -0.03814	                              
       7.04000	      -0.04764	                              
       7.05000	      -0.06062	                              
       7.06000	      -0.07237	                              
       7.07000	      -0.07624	                              
       7.08000	      -0.06538	                              
       7.09000	      -0.04021	                              
       7.10000	       0.00184	                              
       7.11000	       0.04394	                              
       7.12000	       0.06599	                              
       7.13000	       0.07841	                              
       7.14000	       0.07822	                              
       7.15000	       0.07387	                              
       7.16000	       0.06983	                              
       7.17000	       0.07377	                              
       7.18000	       0.08778	                              
       7.19000	       0.10705	                              
       7.20000	       0.12469	                              
       7.21000	       0.13499	                              
       7.22000	       0.13679	                              
       7.23000	       0.13326	                              
       7.24000	       0.12918	                              
       7.25000	       0.12751	                              
       7.26000	       0.12808	                              
       7.27000	       0.12831	                              
       7.28000	       0.12620	                              
       7.29000	       0.12216	                              
       7.30000	       0.11919	                              
       7.31000	       0.12032	                              
       7.32000	       0.12636	                              
       7.33000	       0.13504	                              
       7.34000	       0.14267	                              
       7.35000	       0.14630	                              
       7.36000	       0.14541	                              
       7.37000	       0.14147	                              
       7.38000	       0.13676	                              
       7.39000	       0.13271	                              
       7.40000	       0.12929	                              
       7.41000	       0.12541	                              
       7.42000	       0.12009	                              
       7.43000	       0.11352	                              
       7.44000	       0.10695	                              
       7.45000	       0.10169	                              
       7.46000	       0.09782	                              
       7.47000	       0.09441	                              
       7.48000	       0.09031	                              
       7.49000	       0.08508	                              
       7.50000	       0.07850	                              
       7.51000	       0.07017	                              
       7.52000	       0.05931	                              
       7.53000	       0.04600	                              
       7.54000	       0.03168	                              
       7.55000	       0.01887	                              
       7.56000	       0.00881	                              
       7.57000	       0.00023	                              
       7.58000	      -0.01064	                              
       7.59000	      -0.02680	                              
       7.60000	      -0.04797	                              
       7.61000	      -0.07007	                              
       7.62000	      -0.08816	                              
       7.63000	      -0.09872	                              
       7.64000	      -0.10201	                              
       7.65000	      -0.09968	                              
       7.66000	      -0.09453	                              
       7.67000	      -0.08832	                              
       7.68000	      -0.08307	                              
       7.69000	      -0.08107	                              
       7.70000	      -0.08050	                              
       7.71000	      -0.08350	                              
       7.72000	      -0.08703	                              
       7.73000	      -0.09110	                              
       7.74000	      -0.09170	                              
       7.75000	      -0.08614	                              
       7.76000	      -0.07450	                              
       7.77000	      -0.06107	                              
       7.78000	      -0.05290	                              
       7.79000	      -0.05375	                              
       7.80000	      -0.06170	                              
       7.81000	      -0.07241	                              
       7.82000	      -0.08090	                              
       7.83000	      -0.08413	                              
       7.84000	      -0.08109	                              
       7.85000	      -0.07299	                              
       7.86000	      -0.06199	                              
       7.87000	      -0.05086	                              
       7.88000	      -0.04184	                              
       7.89000	      -0.03638	                              
       7.90000	      -0.03435	                              
       7.91000	      -0.03441	                              
       7.92000	      -0.03431	                              
       7.93000	      -0.03222	                              
       7.94000	      -0.02746	                              
       7.95000	      -0.02101	                              
       7.96000	      -0.01467	                              
       7.97000	      -0.01005	                              
       7.98000	      -0.00754	                              
       7.99000	      -0.00635	                              
       8.00000	      -0.00530	                              
       8.01000	      -0.00372	                              
       8.02000	      -0.00180	                              
       8.03000	      -0.00017	                              
       8.04000	       0.00081	                              
       8.05000	       0.00133	                              
       8.06000	       0.00177	                              
       8.07000	       0.00226	                              
       8.08000	       0.00246	                              
       8.09000	       0.00193	                              
       8.10000	       0.00045	                              
       8.11000	      -0.00179	                              
       8.12000	      -0.00457	                              
       8.13000	      -0.00755	                              
       8.14000	      -0.01020	                              
       8.15000	      -0.01159	                              
       8.16000	      -0.01106	                              
       8.17000	      -0.00918	                              
       8.18000	      -0.00797	                              
       8.19000	      -0.00974	                              
       8.20000	      -0.01487	                              
       8.21000	      -0.02088	                              
       8.22000	      -0.02446	                              
       8.23000	      -0.02537	                              
       8.24000	      -0.02446	                              
       8.25000	      -0.02172	                              
       8.26000	      -0.01560	                              
       8.27000	      -0.01029	                              
       8.28000	      -0.01059	                              
       8.29000	      -0.01421	                              
       8.30000	      -0.01906	                              
       8.31000	      -0.02347	                              
       8.32000	      -0.02886	                              
       8.33000	      -0.03643	                              
       8.34000	      -0.04607	                              
       8.35000	      -0.05542	                              
       8.36000	      -0.06233	                              
       8.37000	      -0.06735	                              
       8.38000	      -0.07068	                              
       8.39000	      -0.07367	                              
       8.40000	      -0.07627	                              
       8.41000	      -0.07817	                              
       8.42000	      -0.07767	                              
